solution_id,source_id,ra,dec,parallax,bp_rp,phot_g_mean_mag,original_ext_source_id,clean_tmass_psc_xsc_oid,clean_tmass_psc_xsc_oid,ph_qual
1636148068921376768,4088027254775961216,288.0851354103015,-16.583776684258,0.17219762198089608,1.6406479,13.964448,19122044-1635015,236534992,236534992,AAA
1636148068921376768,4088027254775968000,288.07992846295207,-16.581514133024744,1.2256868296583388,0.8508272,12.802947,19121918-1634533,236543545,236543545,AAA
1636148068921376768,4087819034760379904,288.60847254370896,-16.84736340848015,0.4706691037425733,1.3624468,12.494093,19142603-1650503,235539796,235539796,AAA
1636148068921376768,4087819275278568448,288.6280116782475,-16.810911127467755,0.13995122351214065,1.4174318,13.603232,19143072-1648391,235676981,235676981,AAA
1636148068921376768,4087819309638148736,288.7266198168491,-16.8714147773582,0.6056923982515262,1.6141567,11.183974,19145438-1652170,235448603,235448603,AAA
1636148068921376768,4087819378357643264,288.71848470474697,-16.862255105915278,0.4353832056446259,1.3801575,13.269129,19145244-1651440,235483336,235483336,AAA
1636148068921376768,4087819550156339712,288.74333433276064,-16.835955069283738,3.2338006468895775,0.75420094,10.866597,19145840-1650089,235583111,235583111,AAA
1636148068921376768,4088027667092831104,288.1053599809013,-16.556036471859166,0.4768078119241226,1.3916063,13.450948,19122528-1633216,236639348,236639348,AAA
1636148068921376768,4088027697147431040,288.1137377545703,-16.547049845577078,1.0411228171997826,0.85081863,13.840969,19122728-1632492,236673420,236673420,AAA
1636148068921376768,4087819717649133696,288.7215409849659,-16.827132927392864,0.7193088981987725,1.4071426,12.506666,19145315-1649375,235615790,235615790,AAA
1636148068921376768,4087819721955060992,288.7198393868243,-16.829451344164806,0.17947514095715442,1.4457865,13.371138,19145276-1649459,235606983,235606983,AAA
1636148068921376768,4087819786368610048,288.71042470267827,-16.814712956358346,0.26177199817457064,1.588397,12.310024,19145050-1648529,235662562,235662562,AAA
1636148068921376768,4088027701452570368,288.1099491958955,-16.551059173804283,0.6480907180752825,1.4944696,12.648646,19122639-1633038,236658213,236658213,AAA
1636148068921376768,4087819928113474432,288.7501739312721,-16.817525065011047,0.14153626924719326,1.6994352,12.82972,19150004-1649029,235651959,235651959,AAA
1636148068921376768,4087820306070604544,288.77973332073117,-16.781533681881342,1.116309149794235,0.9602566,13.907678,19150712-1646532,235788509,235788509,AAA
1636148068921376768,4088027941970775680,288.0878032148368,-16.538403136214292,1.1042315702146943,0.948802,13.577929,19122107-1632180,236705773,236705773,AAA
1636148068921376768,4087820370484160896,288.76430795764605,-16.769781502546405,0.39860406542063803,1.3895903,13.34974,19150343-1646111,235832741,235832741,AAA
1636148068921376768,4087820374790103936,288.7615780076583,-16.77585851865726,2.2200093306735766,0.53539467,11.320036,19150277-1646329,235809829,235809829,AAA
1636148068921376768,4088028010690283392,288.0651984150597,-16.53138966819842,0.30449506357458106,1.4454594,13.951846,19121564-1631529,236731919,236731919,AAA
1636148068921376768,4088028075103080576,288.1033524639928,-16.526190790215193,1.3789619375381683,0.83842564,12.391797,19122479-1631343,236751293,236751293,AAA
1636148068921376768,4087820649668062848,288.6977152132198,-16.78434323623911,1.0559236228464541,0.90363884,12.7437935,19144745-1647034,235777760,235777760,AAA
1636148068921376768,4087820684027812864,288.6573633063236,-16.809155585158493,0.9625761314625315,1.419528,11.006768,19143776-1648326,235683794,235683794,AAA
1636148068921376768,4087820752747312384,288.6438196319927,-16.802353158546822,2.0657591333003333,0.94732666,13.332081,19143450-1648085,235709157,235709157,AAA
1636148068921376768,4087820890186274816,288.66551798622964,-16.774100542343316,0.14653740717452093,1.3435307,13.330375,19143973-1646266,235816546,235816546,AAA
1636148068921376768,4087820954599713920,288.72000465878506,-16.78929575057031,0.26109138981384866,1.6094122,12.6210785,19145280-1647214,235759070,235759070,AAA
1636148068921376768,4088028251208098048,288.29258017289595,-16.635286555207305,0.423412501916814,1.2736826,13.225971,19131022-1638069,236340178,236340178,AAA
1636148068921376768,4087820988959452160,288.7323211790752,-16.785953060714288,0.4657616732617831,1.2387323,12.65581,19145575-1647093,235771657,235771657,AAA
1636148068921376768,4087821027626905472,288.7077064577522,-16.778291224973717,0.4033614734247948,1.9605904,10.531816,19144984-1646418,235800532,235800532,AAA
1636148068921376768,4087821061984922880,288.71533639235014,-16.768210944387302,1.573584161777369,1.0685043,12.66118,19145167-1646053,235838740,235838740,AAA
1636148068921376768,4088028285567871488,288.2728088211223,-16.6194441833952,0.7613913828212627,1.298543,13.6810255,19130547-1637098,236400123,236400123,AAA
